event_name,date_location,attendees,goals,source_url,primary_industry,secondary_industry,event_type,featured,company_stages
AmCham of Asia Pacific - Washington Doorknock 2025,Manila - 13–16 Jul 2025,"Business leaders, Policy makers","Market insight, Policy influence",https://amchamphilippines.glueup.com/event/139540,Government & Public Sector,,Meeting,true,Planning Transformation
Optimizing Project Delivery for Efficiency and Impact,Manila - 16 Jul 2025,"Project managers, Team leads","Project management optimization, Skill development",https://amchamphilippines.glueup.com/event/140564,Technology,,Workshop,false,Exploring Solutions
Trade Talks: Public-Private Perspectives on Free Trade and Investment Opportunities,Manila - 16 Jul 2025,"Executives, Government officials","Trade strategy, Investment opportunities",https://amchamphilippines.glueup.com/event/148146,Government & Public Sector,,Meeting,true,Planning Transformation
Unlocking Opportunities Under the Capital Markets Efficiency Promotion Act,Manila - 22 Jul 2025,"Financial executives, Policy makers","Financial market understanding, Compliance",https://amchamphilippines.glueup.com/event/148651,Banking & Financial Services,,Meeting,false,Needs Immediate Help
Future Forward: The 2025 IT-BPM Mid-Year Outlook,Manila - 22 Jul 2025,"BPO executives, IT managers","Industry trends, Business growth",https://amchamphilippines.glueup.com/event/136882,Technology,,Meeting,true,Planning Transformation
Foundations of Leadership: Thriving in Times of Change,Manila - 22 Jul 2025,"Managers, Supervisors","Leadership development, Change management",https://amchamphilippines.glueup.com/event/137192,Technology,,Workshop,false,Exploring Solutions
Maximizing Industry Impact: Leveraging the Enterprise-Based Education and Training (EBET) Framework Act for Workforce Development,Manila - 24 Jul 2025,"HR managers, Industry leaders","Workforce development, Policy implementation",https://amchamphilippines.glueup.com/event/148284,Government & Public Sector,,Meeting,false,Planning Transformation
AI in Digital Marketing,Manila - 24 Jul 2025,"Marketing professionals, Digital strategists","AI adoption, Marketing optimization",https://amchamphilippines.glueup.com/event/135737,Technology,Retail & E-commerce,Workshop,true,Exploring Solutions
Driving Business Growth Through Talent Development,Manila - 25 Jul 2025,"HR directors, Business executives","Talent management, Business growth",https://amchamphilippines.glueup.com/event/148163,Technology,,Meeting,false,Planning Transformation
Managing Privacy: Third-Party Risk Management in the Age of Compliance,Manila - 29 Jul 2025,"Compliance officers, IT managers","Data privacy, Risk management",https://amchamphilippines.glueup.com/event/145204,Technology,,Meeting,false,Needs Immediate Help
C-Suite Circle: Exclusive Gathering of Visionary Leaders (Batch 1),Manila - 29 Jul 2025,"CEOs, Founders","Networking, Strategic insights",https://amchamphilippines.glueup.com/event/146790,Technology,Healthcare,Meeting,true,Planning Transformation
[AMCHAM Visayas] General Membership Meeting,Cebu City - 31 Jul 2025,"Business executives, Members","Networking, Knowledge sharing",https://amchamphilippines.glueup.com/event/149128,Technology,,Meeting,false,Exploring Solutions
Total Quality Management Unlocked: Principles,Tools,and Strategies,Manila - 5 Aug 2025,"Quality managers, Operations leads","Quality improvement, Process optimization",https://amchamphilippines.glueup.com/event/144864,Technology,false,Workshop
Working Meeting on DOLE Department Order No. 248,Series of 2025,Manila - 6 Aug 2025,"HR managers, Compliance officers","Policy compliance, Labor standards",https://amchamphilippines.glueup.com/event/149014,Government & Public Sector,,Meeting,false
Effective People Management: Skills for Leading Teams,Manila - 12 Aug 2025,"Team leaders, Managers","Leadership skills, Team management",https://amchamphilippines.glueup.com/event/147347,Technology,,Workshop,false,Exploring Solutions
A Roadmap for Economic Progress: Accelerating Transportation Infrastructure,Manila - 13 Aug 2025,"Policy makers, Infrastructure executives","Infrastructure development, Economic growth",https://amchamphilippines.glueup.com/event/147880,Government & Public Sector,Technology,Meeting,true,Planning Transformation
AmCham 8th Annual Energy Forum,Manila - 14 Aug 2025,"Energy executives, Policy makers","Energy sector trends, Sustainability",https://amchamphilippines.glueup.com/event/135952,Government & Public Sector,Technology,Forum,true,Planning Transformation
Scaling Project & Change Management for Organizational Success,Manila - 19 Aug 2025,"Project managers, Change managers","Project governance, Change management",https://amchamphilippines.glueup.com/event/140565,Technology,,Workshop,false,Exploring Solutions
[North Luzon] Member Appreciation Cocktails,Clark - 20 Aug 2025,"Members, Business executives","Networking, Member engagement",https://amchamphilippines.glueup.com/event/146401,Technology,,Networking,false,Exploring Solutions
C-Suite Circle: Exclusive Gathering of Visionary Leaders (Batch 2),Manila - 26 Aug 2025,"CEOs, Founders","Networking, Strategic insights",https://amchamphilippines.glueup.com/event/147382,Technology,Retail & E-commerce,Meeting,true,Planning Transformation
The Connected Workplace: An Executive Roundtable on Building Resilient,Productive,and Digitally Enabled Organizations,Manila - 28 Aug 2025,"Executives, IT directors","Digital transformation, Workplace resilience",https://amchamphilippines.glueup.com/event/144974,Technology,false,Roundtable
From Myths to Metrics: Marketing Basics,Manila - 3 Sep 2025,"Marketing professionals, Business leaders","Digital marketing, AI tool adoption",https://amchamphilippines.glueup.com/event/146407,Technology,Retail & E-commerce,Workshop,false,Exploring Solutions
Evidence-Based Wellbeing: Insights,Tools,and Strategies for Thriving Teams,Manila - 17 Sep 2025,"HR managers, Team leaders","Employee wellbeing, Team productivity",https://amchamphilippines.glueup.com/event/145212,Technology,false,Workshop
Marketing Efficiency Through Smart Tools,Manila - 23 Sep 2025,"Marketing professionals, Digital strategists","Marketing efficiency, Tool adoption",https://amchamphilippines.glueup.com/event/146408,Technology,Retail & E-commerce,Workshop,false,Exploring Solutions
C-Suite Circle: Exclusive Gathering of Visionary Leaders (Batch 3),Manila - 30 Sep 2025,"CEOs, Founders","Networking, Strategic insights",https://amchamphilippines.glueup.com/event/147384,Technology,Energy,Meeting,true,Planning Transformation
C-Suite Circle: Exclusive Gathering of Visionary Leaders (Batch 4),Manila - 28 Oct 2025,"CEOs, Founders","Networking, Strategic insights",https://amchamphilippines.glueup.com/event/147389,Technology,,Meeting,true,Planning Transformation
[POSTPONED] National Doorknock: Department of Labor and Employment,Manila - 11 Jul 2025,"HR executives, Policy makers","Labor policy engagement, Compliance",https://amchamphilippines.glueup.com/event/140271,Government & Public Sector,,Meeting,false,Needs Immediate Help
CrossBorder Data Flows: Strengthening AI & Cybersecurity in the Philippines,Manila - 10 Jul 2025,"Government officials, IT executives","AI innovation, Cybersecurity",https://amchamphilippines.glueup.com/event/146787,Technology,Government & Public Sector,Meeting,true,Planning Transformation
Luzon Economic Corridor (LEC) Hybrid Tabletop Exercise (HTTX),Manila - 9 Jul 2025,"Business leaders, Policy makers","Economic development, Infrastructure planning",https://amchamphilippines.glueup.com/event/147515,Government & Public Sector,,Workshop,true,Planning Transformation
GENERAL MEMBERSHIP MEETING,Makati - 31 Jul 2025,"Business executives, IP professionals","IP commercialization, Protection",https://www.cmaphil.com/,Technology,,Meeting,false,Exploring Solutions
GENERAL MEMBERSHIP MEETING,Online - 28 Aug 2025,"Members, Business executives","Networking, Knowledge sharing",https://www.cmaphil.com/,Technology,,Meeting,false,Exploring Solutions
