event_name,date_location,attendees,goals,source_url,primary_industry,secondary_industry,event_type,featured,company_stages
AmCham of Asia Pacific - Washington Doorknock 2025,Manila - 13–16 Jul 2025,Business leaders,Policy makers,Market insight,Policy influence,https://amchamphilippines.glueup.com/event/139540,Government & Public Sector,,Meeting
Optimizing Project Delivery for Efficiency and Impact,Manila - 16 Jul 2025,Project managers,Team leads,Project management optimization,Skill development,https://amchamphilippines.glueup.com/event/140564,Technology,,Workshop
Trade Talks: Public-Private Perspectives on Free Trade and Investment Opportunities,Manila - 16 Jul 2025,Executives,Government officials,Trade strategy,Investment opportunities,https://amchamphilippines.glueup.com/event/148146,Government & Public Sector,,Meeting
Unlocking Opportunities Under the Capital Markets Efficiency Promotion Act,Manila - 22 Jul 2025,Financial executives,Policy makers,Financial market understanding,Compliance,https://amchamphilippines.glueup.com/event/148651,Banking & Financial Services,,Meeting
Future Forward: The 2025 IT-BPM Mid-Year Outlook,Manila - 22 Jul 2025,BPO executives,IT managers,Industry trends,Business growth,https://amchamphilippines.glueup.com/event/136882,Technology,,Meeting
Foundations of Leadership: Thriving in Times of Change,Manila - 22 Jul 2025,Managers,Supervisors,Leadership development,Change management,https://amchamphilippines.glueup.com/event/137192,Technology,,Workshop
Maximizing Industry Impact: Leveraging the Enterprise-Based Education and Training (EBET) Framework Act for Workforce Development,Manila - 24 Jul 2025,HR managers,Industry leaders,Workforce development,Policy implementation,https://amchamphilippines.glueup.com/event/148284,Government & Public Sector,,Meeting
AI in Digital Marketing,Manila - 24 Jul 2025,Marketing professionals,Digital strategists,AI adoption,Marketing optimization,https://amchamphilippines.glueup.com/event/135737,Technology,Retail & E-commerce,Workshop
Driving Business Growth Through Talent Development,Manila - 25 Jul 2025,HR directors,Business executives,Talent management,Business growth,https://amchamphilippines.glueup.com/event/148163,Technology,,Meeting
Managing Privacy: Third-Party Risk Management in the Age of Compliance,Manila - 29 Jul 2025,Compliance officers,IT managers,Data privacy,Risk management,https://amchamphilippines.glueup.com/event/145204,Technology,,Meeting
C-Suite Circle: Exclusive Gathering of Visionary Leaders (Batch 1),Manila - 29 Jul 2025,CEOs,Founders,Networking,Strategic insights,https://amchamphilippines.glueup.com/event/146790,Technology,Healthcare,Meeting
[AMCHAM Visayas] General Membership Meeting,Cebu City - 31 Jul 2025,Business executives,Members,Networking,Knowledge sharing,https://amchamphilippines.glueup.com/event/149128,Technology,,Meeting
Total Quality Management Unlocked: Principles,Tools,and Strategies,Manila - 5 Aug 2025,Quality managers,Operations leads,Quality improvement,Process optimization,https://amchamphilippines.glueup.com/event/144864,Technology
Working Meeting on DOLE Department Order No. 248,Series of 2025,Manila - 6 Aug 2025,HR managers,Compliance officers,Policy compliance,Labor standards,https://amchamphilippines.glueup.com/event/149014,Government & Public Sector,Exploring Solutions
Effective People Management: Skills for Leading Teams,Manila - 12 Aug 2025,Team leaders,Managers,Leadership skills,Team management,https://amchamphilippines.glueup.com/event/147347,Technology,,Workshop
