event_name,date_location,attendees,goals,source_url,primary_industry,secondary_industry,event_type,featured,company_stages
"Philippine National Bank","Pasay City","Edwin Bautista (President and CEO)","CEO resignation for digital transformation leadership change in April 2024; Struggling with legacy systems modernization; BSP compliance pressure for digital banking","https://pnb.com.ph","Banking & Financial Services","","active_challenges","false","active_challenges"
"BPI Bank","Makati City","Maria Cristina Go (Chief Digital Officer)","Actively participating in BSP digital transformation roadmap; Investing heavily in AI-driven customer support; Legacy system integration challenges","https://bpi.com.ph","Banking & Financial Services","","exploring_solutions","false","exploring_solutions"
"Security Bank Corporation","Makati City","Alex Seminiano (Chief Information Officer)","BSP CRD integration deadline pressure; Struggling with MSME lending digitalization; Posted 45 digital transformation positions in Q4 2024","https://securitybank.com","Banking & Financial Services","","active_challenges","false","active_challenges"
"UnionBank of the Philippines","Pasig City","Dennis Tangonan (EVP Technology and Operations)","Successfully launched UnionDigital Bank; Leading digital transformation but facing talent retention issues; Former president moved to PNB","https://unionbankph.com","Banking & Financial Services","","planning_transformation","false","planning_transformation"
"Metrobank","Makati City","Patricia Cruz (VP Digital Banking)","Implementing BSP Open Finance requirements; Investing in blockchain for remittances; Facing cybersecurity compliance challenges","https://metrobank.com.ph","Banking & Financial Services","","exploring_solutions","false","exploring_solutions"
"RCBC","Makati City","Lito Villanueva (EVP Chief Innovation and Inclusion Officer)","Struggling with Project Nexus implementation; Digital payments transformation ongoing; Hiring Chief Innovation Officer","https://rcbc.com","Banking & Financial Services","","exploring_solutions","false","exploring_solutions"
"Jollibee Foods Corporation","Pasig City","Maria Santos (Chief Digital Officer)","Traditional fast food model disrupted by delivery apps; Investing heavily in digital ordering systems; Attending food tech conferences globally","https://jfc.com.ph","Food & Beverage","","exploring_solutions","false","exploring_solutions"
"Max's Group Inc.","Pasig City","Roberto Mendoza (VP Technology and Innovation)","Lost 30% market share to delivery platforms; Laid off 500 employees in 2024; Emergency digital transformation initiative launched","https://maxsgroupinc.com","Food & Beverage","","active_challenges","false","active_challenges"
"Pancake House Group","Quezon City","Angela Reyes (Director of Digital Strategy)","Multiple restaurant closures due to digital competition; Struggling with online ordering integration; Hiring external consultants for transformation","https://pancakehouse.com.ph","Food & Beverage","","active_challenges","false","active_challenges"
"SM Retail Inc.","Quezon City","Michael Tan (Chief Technology Officer)","E-commerce competition from Shopee and Lazada; Investing in omnichannel retail; Building own delivery infrastructure","https://smsupermalls.com","Retail & E-commerce","","exploring_solutions","false","exploring_solutions"
"Robinsons Retail Holdings","Pasig City","Jennifer Lim (SVP E-commerce and Digital)","15% revenue decline due to e-commerce shift; Closing physical stores; Rush hiring for digital transformation team","https://robinsonsretailholdings.com.ph","Retail & E-commerce","","active_challenges","false","active_challenges"
"Mercury Drug Corporation","Quezon City","Carlos Garcia (Director IT and Digital Services)","Facing competition from online pharmacies; Developing mobile app and delivery service; Legacy POS system upgrade needed","https://mercurydrug.com","Retail & E-commerce","","exploring_solutions","false","exploring_solutions"
"Philippine Airlines","Pasay City","David Chen (Chief Information Officer)","Post-pandemic recovery struggles; Urgent need for digital booking system overhaul; Cybersecurity breach in Q3 2024","https://philippineairlines.com","Logistics & Transportation","","active_challenges","false","active_challenges"
"2GO Group Inc.","Pasay City","Ramon Gutierrez (VP Operations and Technology)","Supply chain visibility issues; Manual processes causing delays; Lost major clients to digital-first competitors","https://2go.com.ph","Logistics & Transportation","","active_challenges","false","active_challenges"
"LBC Express","Pasig City","Sofia Ramos (Chief Digital Officer)","Investing in AI for route optimization; Building digital tracking platform; Competing with tech-enabled startups","https://lbcexpress.com","Logistics & Transportation","","exploring_solutions","false","exploring_solutions"
"Globe Telecom","BGC Taguig","Ernest Cu (President and CEO)","5G rollout requiring massive digital infrastructure; Cybersecurity talent shortage; Engaged external firm for threat detection","https://globe.com.ph","Telecommunications","","planning_transformation","false","planning_transformation"
"PLDT Inc.","Makati City","Manuel Pangilinan (Chairman and CEO)","Network modernization challenges; Digital customer service transformation; Competing with new digital telcos","https://pldt.com","Telecommunications","","exploring_solutions","false","exploring_solutions"
"Converge ICT Solutions","Pasig City","Dennis Anthony Uy (CEO and President)","Rapid growth requiring digital scaling; Building automated customer service; Investing in AI for network management","https://convergeict.com","Telecommunications","","planning_transformation","false","planning_transformation"
"San Miguel Corporation","Mandaluyong City","Ramon Ang (President and COO)","Supply chain digitalization needed; IoT implementation for factories; Posted 80 tech positions for Industry 4.0 initiative","https://sanmiguel.com.ph","Manufacturing","","exploring_solutions","false","exploring_solutions"
"Universal Robina Corporation","Pasig City","Lance Gokongwei (President and CEO)","ERP system outdated causing production delays; E-commerce channel conflicts; Hiring Chief Digital Officer urgently","https://urc.com.ph","Manufacturing","","active_challenges","false","active_challenges"
"Century Pacific Food Inc.","Pasig City","Christopher Po (Executive Chairman)","Digital supply chain transformation project; Implementing predictive analytics; Partnering with tech firms for automation","https://centurypacific.com.ph","Manufacturing","","exploring_solutions","false","exploring_solutions"
"The Medical City","Pasig City","Dr. Eugenio Jose Ramos (CEO and President)","Ransomware attack in 2024; EMR system integration failures; PhilHealth compliance digital requirements unmet","https://themedicalcity.com","Healthcare","","active_challenges","false","active_challenges"
"St. Luke's Medical Center","BGC Taguig","Dr. Dennis Serrano (Chief Medical Information Officer)","Telemedicine platform development; AI diagnostic tools evaluation; Cybersecurity upgrade after near-breach","https://stlukes.com.ph","Healthcare","","exploring_solutions","false","exploring_solutions"
"Makati Medical Center","Makati City","Dr. Saturnino Javier (President and CEO)","Legacy HIS causing billing delays; 50% nursing staff shortage; Digital health regulatory compliance issues","https://makatimed.net.ph","Healthcare","","active_challenges","false","active_challenges"
