event_name,date_location,attendees,goals,source_url,primary_industry,secondary_industry,company_stages,event_type,featured
Echelon Philippines 2025,"Manila - 2–3 Sep 2025","Startup founders, Investors, Entrepreneurs","Networking, Funding opportunities, Knowledge sharing","",Technology,,All Stages,Conference,true
PhNOG 2025+ Week (Philippine Network Operators Group),"Manila - 7–11 Jul 2025","Network engineers, Architects, Operators","Technical discussions, Networking, Infrastructure development","",Technology,,All Stages,Conference,true
The MarTech Summit Manila 2025,"Makati - 2 Jul 2025","Marketing professionals, Data specialists","Data-driven marketing, AI adoption, Customer engagement","",Technology,Retail & E-commerce,All Stages,Summit,true
Cybersphere Philippines 2025,"Taguig - 4–5 Jul 2025","Cybersecurity experts, ICT professionals, Decision-makers","Cybersecurity solutions, Networking, ICT infrastructure development","",Technology,Government & Public Sector,All Stages,Conference,true
Startup Funding in the Philippines & SEA: The Journey from Grants to IPO,"Online - 2 Jul 2025","Startup founders, Entrepreneurs","Funding strategy, Grants to IPO guidance","https://fi.co/e/361718",Technology,,All Stages,Workshop,false
Founders Running Club :: Manila,"Quezon City - Every Saturday, 6:00 AM","Founders, Investors, Tech professionals, Creatives","Networking, Community building","https://www.meetup.com/founders-running-club-manila/",Technology,,All Stages,Networking,false
BUILD Startup Festival 2026,"Taguig - Mar 2026","Founders, VCs, Angel investors, Community builders","Networking, Innovation discussions, Community building","http://www.sinigangvalley.com",Technology,,All Stages,Summit,true
Entrepinay Conference 2026,"Pasay City - Apr 2026","Female founders, Entrepreneurs, Professionals, Creatives","Empowerment, Business insights, Networking","http://www.thebibongpinaycompany.com",Technology,,All Stages,Conference,true
Crypto Vision Conference 2026 (CVCPH2026),"Makati - Apr 2026","Investors, Traders, Crypto enthusiasts, Founders","Blockchain exploration, Web3 innovation, Networking","https://lu.ma/qeul0o29",Technology,,Seed Stage|Series A,Conference,true
How Non-Techies Can Launch Successful Tech Startups,"Online - Recurring Monthly","Aspiring founders, Non-technical entrepreneurs","MVP development, Team building, Go-to-market strategies","https://www.meetup.com/manila-startup-idea-to-ipo/",Technology,,Pre-seed|Idea Stage,Workshop,false
Saturday AI Hangout with Zack Lim,"Online - Recurring Weekly","Entrepreneurs, AI enthusiasts, Tech professionals","AI trends, Opportunity exploration","https://www.meetup.com/internet-entrepreneurs-network-philippines/",Technology,,All Stages,Networking,false
ReactJS Philippines - Regular Meetups,"Metro Manila - Recurring","React developers, Technical founders, Engineers","Technical discussions, Networking, Skill development","https://www.meetup.com/reactjs-philippines/",Technology,,All Stages,Networking,false
PyCon APAC 2025,"Quezon City - 1–3 Mar 2025","Python developers, Data scientists, Technical founders","Python advancements, Networking, Skill development","https://pycon-apac.python.ph/",Technology,,All Stages,Conference,true
PythonPH - Regular Meetups & Trainings,"Metro Manila - Recurring","Python developers, Data scientists, Technical founders","Python skill development, Networking","https://python.ph/",Technology,,All Stages,Networking,false
GDG Cloud Manila x AI Pilipinas International Women's Day Event 2025,"Taguig - 20 Mar 2025","Developers, AI practitioners, Tech professionals","Women in tech, Cloud and AI discussions, Networking","https://gdg.community.dev/events/details/google-gdg-cloud-manila-presents-gdg-cloud-manila-x-ai-pilipinas-international-womens-day-event-2025/",Technology,,All Stages,Networking,false
